Store,Date, Weekly_Sales ,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,,,,
1,05-02-2010," ? 16,43,690.90 ",No,42.31,2.57,211.10,8.11,,,,
1,12-02-2010," ? 16,41,957.44 ",Yes,38.51,2.55,211.24,8.11,,,,
1,19-02-2010," ? 16,11,968.17 ",No,39.93,2.51,211.29,8.11,,,,
1,26-02-2010," ? 14,09,727.59 ",No,46.63,2.56,211.32,8.11,,,,
1,05-03-2010," ? 15,54,806.68 ",No,46.50,2.63,211.35,8.11,,,,
1,12-03-2010," ? 14,39,541.59 ",No,57.79,2.67,211.38,8.11,,,,
1,19-03-2010," ? 14,72,515.79 ",No,54.58,2.72,211.22,8.11,,,,
1,26-03-2010," ? 14,04,429.92 ",No,51.45,2.73,211.02,8.11,,,,
1,02-04-2010," ? 15,94,968.28 ",No,62.27,2.72,210.82,7.81,,,,
1,09-04-2010," ? 15,45,418.53 ",No,65.86,2.77,210.62,7.81,,,,
1,16-04-2010," ? 14,66,058.28 ",No,66.32,2.81,210.49,7.81,,,,
1,23-04-2010," ? 13,91,256.12 ",No,64.84,2.80,210.44,7.81,,,,
1,30-04-2010," ? 14,25,100.71 ",No,67.41,2.78,210.39,7.81,,,,
1,07-05-2010," ? 16,03,955.12 ",No,72.55,2.84,210.34,7.81,,,,
1,14-05-2010," ? 14,94,251.50 ",No,74.78,2.85,210.34,7.81,,,,
1,21-05-2010," ? 13,99,662.07 ",No,76.44,2.83,210.62,7.81,,,,
1,28-05-2010," ? 14,32,069.95 ",No,80.44,2.76,210.90,7.81,,,,
1,04-06-2010," ? 16,15,524.71 ",No,80.69,2.71,211.18,7.81,,,,
1,11-06-2010," ? 15,42,561.09 ",No,80.43,2.67,211.46,7.81,,,,
1,18-06-2010," ? 15,03,284.06 ",No,84.11,2.64,211.45,7.81,,,,
1,25-06-2010," ? 14,22,711.60 ",No,84.34,2.65,211.34,7.81,,,,
1,02-07-2010," ? 14,92,418.14 ",No,80.91,2.67,211.22,7.79,,,,
1,09-07-2010," ? 15,46,074.18 ",No,80.48,2.64,211.11,7.79,,,,
1,16-07-2010," ? 14,48,938.92 ",No,83.15,2.62,211.10,7.79,,,,
1,23-07-2010," ? 13,85,065.20 ",No,83.36,2.61,211.24,7.79,,,,
1,30-07-2010," ? 13,71,986.60 ",No,81.84,2.64,211.37,7.79,,,,
1,06-08-2010," ? 16,05,491.78 ",No,87.16,2.63,211.50,7.79,,,,
1,13-08-2010," ? 15,08,237.76 ",No,87.00,2.69,211.64,7.79,,,,
1,20-08-2010," ? 15,13,080.49 ",No,86.65,2.66,211.60,7.79,,,,
1,27-08-2010," ? 14,49,142.92 ",No,85.22,2.62,211.57,7.79,,,,
1,03-09-2010," ? 15,40,163.53 ",No,81.21,2.58,211.53,7.79,,,,
1,10-09-2010," ? 15,07,460.69 ",Yes,78.69,2.57,211.50,7.79,,,,
1,17-09-2010," ? 14,30,378.67 ",No,82.11,2.58,211.52,7.79,,,,
1,24-09-2010," ? 13,51,791.03 ",No,80.94,2.62,211.60,7.79,,,,
1,01-10-2010," ? 14,53,329.50 ",No,71.89,2.60,211.67,7.84,,,,
1,08-10-2010," ? 15,08,239.93 ",No,63.93,2.63,211.75,7.84,,,,
1,15-10-2010," ? 14,59,409.10 ",No,67.18,2.72,211.81,7.84,,,,
1,22-10-2010," ? 13,45,454.00 ",No,69.86,2.73,211.86,7.84,,,,
1,29-10-2010," ? 13,84,209.22 ",No,69.64,2.72,211.91,7.84,,,,
1,05-11-2010," ? 15,51,659.28 ",No,58.74,2.69,211.96,7.84,,,,
1,12-11-2010," ? 14,94,479.49 ",No,59.61,2.73,212.00,7.84,,,,
1,19-11-2010," ? 14,83,784.18 ",No,51.41,2.77,211.89,7.84,,,,
1,26-11-2010," ? 19,55,624.11 ",Yes,64.52,2.74,211.75,7.84,,,,
1,03-12-2010," ? 15,48,033.78 ",No,49.27,2.71,211.61,7.84,,,,
1,10-12-2010," ? 16,82,614.26 ",No,46.33,2.84,211.47,7.84,,,,
1,17-12-2010," ? 18,91,034.93 ",No,49.84,2.87,211.41,7.84,,,,
1,24-12-2010," ? 23,87,950.20 ",No,52.33,2.89,211.41,7.84,,,,
